WELL_LABEL,WELL_NAME,DP_CONTROL,DP_PRES_DROP,GL_CONTROL_MODE,GL_GLIR,GL_MINRT,GL_MAXRT,SOL.GLINJRT,PROSPER.GlINJRT,WELLTYPE,SOLV.OILRT,SOLV.GASRT,SOLV.LIQRT,SOLV.GLIR,SOLV.FWHP,SOLV.WCUT,SOLV.DDOWN,SOLV.THP,IS_MASKED,IS_DISABLED,WELLMODEL,IPRTYPE,PI,RESPRES,RESTEMP,GOR,SGOIL,SGGAS,CO2,WCUT,Prosper.Filename
WL-C022-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C022-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C023-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C023-LS,,NONE,0,CALCULATED,0.206,0.0,1.0,5.55111512e-16,0.206,OilProducerGL,82.115455089,0.200033249,234.615569986,0.0,141.112324985,64.999997616,1768.74722209,141.112324985,0,0,VLPIPR,PI,0.174000376,2381.0,169.0,2436.0,37.0,0.800000012,0.0,64.999997616,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform C\WL-C023S01-LS.Out
WL-C024-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C024-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C026-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C026-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C032-LS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-C033-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-4004-SS,,NONE,0,FIXEDVALUE,,,,0.0,,OilProducerNoLift,0.0,0.0,0.0,0.0,,,,0.0,0,1,VLPIPR,PI,,,,,,,0.0,,
WL-4004-LS,,NONE,0,CALCULATED,0.3,0.0,1.0,0.502678156,0.3,OilProducerGL,351.758714935,0.293718527,2439.38133229,0.502678156,192.318232511,85.580003,492.489618741,192.318232511,0,0,VLPIPR,PI,5.0315999,2402.0,172.0,835.0,41.200001,0.86,0.0,85.580003,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform 4\WL-0404-LS.Out
WL-A014-SS,,NONE,0,CALCULATED,0.0,0.0,1.0,0.083131689,0.0,OilProducerGL,128.408610837,0.247828619,1284.08580222,0.083131689,223.184536028,89.999997616,522.827411046,223.184536028,0,0,VLPIPR,PI,2.490692426,2100.0,165.0,1930.0,32.0,0.75999999,0.0,89.999997616,U:\01 Domestic\05 WestLutong\08 GAP Model\..\07 Prosper Model\Platform by Platform\Platform A\WL-A014-SS.Out
