WELL_LABEL,WELL_NAME,DP_CONTROL,DP_PRES_DROP,GL_CONTROL_MODE,GL_GLIR,GL_MINRT,GL_MAXRT,SOL.GLINJRT,PROSPER.GlINJRT,WELLTYPE,SOLV.OILRT,SOLV.GASRT,SOLV.LIQRT,SOLV.GLIR,SOLV.FWHP,SOLV.WCUT,SOLV.DDOWN,SOLV.THP,IS_MASKED,IS_DISABLED,WELLMODEL,IPRTYPE,PI,RESPRES,RESTEMP,GOR,SGOIL,SGGAS,CO2,WCUT,Prosper.Filename
DS-1K012-L,DS-1K012-L,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-1K012-L.OUT
DS-1K015-S,DS-1K015-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-1K015-S.OUT
DS-1K015-L,DS-1K015-L,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-1K015-L.OUT
DS-3L021-S,DS-3L021-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L021-S.OUT
DS-3L021-L,DS-3L021-L,NONE,0,CALCULATED,0.201,0,1,0,0.201,OilProducerGL,0,0,0,0,276.0963498,,0,276.0963498,0,0,VLPIPR,PI,0.267691826,1940,168,17967,37,0.800000012,0,96.16999626,C:\Users\ptech\DS-3L021-L.OUT
DS-3L025-S,DS-3L025-S,NONE,0,CALCULATED,0.3,0,1,0.214322198,0.3,OilProducerGL,96.59623536,0.170975337,453.5033265,0.214322198,388.851497,78.69999409,764.2744627,388.851497,0,0,VLPIPR,PI,0.622969844,2090,164,1770,31,0.75,0,78.69999409,C:\Users\ptech\DS-3L025-S.OUT
DS-3L025-L,DS-3L025-L,NONE,0,CALCULATED,0.3,0,1,5.55112E-16,0.3,OilProducerGL,138.2656942,0.197443411,476.1214902,0,206.118409,70.95999718,1981.728615,206.118409,0,0,VLPIPR,PI,0.338334277,2300,169,1428,37,0.800000012,0,70.95999718,C:\Users\ptech\DS-3L025-L.OUT
DS-3L027-S,DS-3L027-S,NONE,0,CALCULATED,0.406,0,1,0.191671607,0.406,OilProducerGL,155.0801281,0.146860881,263.2939283,0.191671607,306.1138215,41.09999836,1338.082937,306.1138215,0,0,VLPIPR,PI,0.238652695,2500,171,947,40.09999847,0.810000002,1.66,41.09999836,C:\Users\ptech\DS-3L027-S.OUT
DS-3L027-L,DS-3L027-L,NONE,0,FIXEDVALUE,0,,,0,0,OilProducerNoLift,132.7808037,0.249096788,1152.611343,0,138.7064175,88.480002,883.0540755,138.7064175,0,0,VLPIPR,PI,1.3399298,2496,172,1876,41.200001,0.86,0,88.480002,C:\Users\ptech\DS-3L027-L.OUT
DS-3L031-S,DS-3L031-S,NONE,0,CALCULATED,0.165,0,1,0,0.165,OilProducerGL,0,0,0,0,216.0863818,,0,216.0863818,0,0,VLPIPR,PI,0.150695677,2000,164,1215,31,0.75,0,61.10000014,C:\Users\ptech\DS-3L031-S.OUT
DS-3L031-L,DS-3L031-L,NONE,0,CALCULATED,0.165,0,1,0,0.165,OilProducerGL,0,0,0,0,221.0677363,,0,221.0677363,0,0,VLPIPR,PI,0.1343,2100,164,19995,31,0.75,0,80.730003,C:\Users\ptech\DS-3L031-L.OUT
DS-3L032-S,DS-3L032-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L032-S.OUT
DS-3L033-L,DS-3L033-L,NONE,0,CALCULATED,0,0,1,0,0,OilProducerGL,28.94509627,0.314734504,637.5568571,0,413.6127297,95.45999765,239.2069563,413.6127297,0,0,VLPIPR,PI,2.669679552,3130,172,10873.5,40,0.829999983,0,95.45999765,C:\Users\ptech\DS-3L033-L.OUT
DS-3L022-S,DS-3L022-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L022-S.OUT
DS-3L022-L,DS-3L022-L,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L022-L.OUT
DS-3L023-S,DS-3L023-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L023-S.OUT
DS-3L023-L,DS-3L023-L,NONE,0,CALCULATED,0.206,0,1,5.55112E-16,0.206,OilProducerGL,82.11545509,0.200033249,234.61557,0,141.112325,64.99999762,1768.747222,141.112325,0,0,VLPIPR,PI,0.174000376,2381,169,2436,37,0.800000012,0,64.99999762,C:\Users\ptech\DS-3L023-L.OUT
DS-3L024-S,DS-3L024-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L024-S.OUT
DS-3L024-L,DS-3L024-L,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L024-L.OUT
DS-3L026-S,DS-3L026-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L026-S.OUT
DS-3L026-L,DS-3L026-L,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L026-L.OUT
DS-3L032-L,DS-3L032-L,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L032-L.OUT
DS-3L033-S,DS-3L033-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-3L033-S.OUT
DS-6Q004-S,DS-6Q004-S,NONE,0,FIXEDVALUE,,,,0,,OilProducerNoLift,0,0,0,0,,,,0,0,1,VLPIPR,PI,,,,,,,0,,C:\Users\ptech\DS-6Q004-S.OUT
DS-6Q004-L,DS-6Q004-L,NONE,0,CALCULATED,0.3,0,1,0.502678156,0.3,OilProducerGL,351.7587149,0.293718527,2439.381332,0.502678156,192.3182325,85.580003,492.4896187,192.3182325,0,0,VLPIPR,PI,5.0315999,2402,172,835,41.200001,0.86,0,85.580003,C:\Users\ptech\DS-6Q004-L.OUT
DS-1K014-S,DS-1K014-S,NONE,0,CALCULATED,0,0,1,0.083131689,0,OilProducerGL,128.4086108,0.247828619,1284.085802,0.083131689,223.184536,89.99999762,522.827411,223.184536,0,0,VLPIPR,PI,2.490692426,2100,165,1930,32,0.75999999,0,89.99999762,C:\Users\ptech\DS-1K014-S.OUT
